"votacao_id","partido_id","nome","opcao","percentual"
14189,15,"PCdoB","SIM","1"
14189,9,"PDT","SIM","1"
14189,19,"PFL","SIM","1"
14189,21,"PL","SIM","1"
14189,7,"PMDB","SIM","1"
14189,14,"PP","SIM","1"
14189,8,"PPS","SIM","1"
14189,40,"PRONA","SIM","1"
14189,11,"PSB","SIM","1"
14189,22,"PSC","SIM","1"
14189,5,"PSDB","SIM","1"
14189,17,"PSOL","SIM","1"
14189,4,"PT","SIM","1"
14189,3,"PTB","SIM","1"
14189,1,"PV","SIM","1"
14189,18,"Sem partido","SIM","1"
14744,15,"PCdoB","SIM","1"
14744,9,"PDT","SIM","1"
14744,19,"PFL","SIM","1"
14744,21,"PL","SIM","1"
14744,7,"PMDB","SIM","1"
14744,14,"PP","SIM","1"
14744,8,"PPS","SIM","1"
14744,40,"PRONA","SIM","1"
14744,11,"PSB","SIM","1"
14744,22,"PSC","SIM","1"
14744,5,"PSDB","SIM","1"
14744,17,"PSOL","SIM","1"
14744,4,"PT","SIM","1"
14744,3,"PTB","SIM","1"
14744,45,"PTC","SIM","1"
14744,1,"PV","SIM","1"
14744,18,"Sem partido","SIM","1"
15091,15,"PCdoB","SIM","1"
15091,9,"PDT","SIM","1"
15091,19,"PFL","SIM","1"
15091,21,"PL","SIM","1"
15091,7,"PMDB","SIM","1"
15091,30,"PMR","SIM","1"
15091,14,"PP","NAO","0.02"
15091,14,"PP","SIM","0.98"
15091,8,"PPS","SIM","1"
15091,40,"PRONA","SIM","1"
15091,11,"PSB","SIM","1"
15091,22,"PSC","SIM","1"
15091,5,"PSDB","SIM","1"
15091,17,"PSOL","SIM","1"
15091,4,"PT","SIM","1"
15091,3,"PTB","SIM","1"
15091,1,"PV","SIM","1"
15092,15,"PCdoB","SIM","1"
15092,9,"PDT","SIM","1"
15092,19,"PFL","NAO","0.0384615384615385"
15092,19,"PFL","SIM","0.961538461538462"
15092,21,"PL","SIM","1"
15092,7,"PMDB","SIM","1"
15092,30,"PMR","SIM","1"
15092,14,"PP","NAO","0.1"
15092,14,"PP","SIM","0.9"
15092,8,"PPS","SIM","1"
15092,40,"PRONA","SIM","1"
15092,11,"PSB","NAO","0.0384615384615385"
15092,11,"PSB","SIM","0.961538461538462"
15092,22,"PSC","SIM","1"
15092,5,"PSDB","SIM","1"
15092,17,"PSOL","SIM","1"
15092,4,"PT","SIM","1"
15092,3,"PTB","SIM","1"
15092,45,"PTC","SIM","1"
15092,1,"PV","SIM","1"
15093,15,"PCdoB","SIM","1"
15093,9,"PDT","SIM","1"
15093,19,"PFL","SIM","1"
15093,21,"PL","SIM","1"
15093,7,"PMDB","NAO","0.0410958904109589"
15093,7,"PMDB","SIM","0.958904109589041"
