"votacao_id","partido_id","nome","opcao","percentual"
13873,12,"DEM","SIM","1"
13873,15,"PCdoB","NAO","0.777777777777778"
13873,15,"PCdoB","SIM","0.222222222222222"
13873,9,"PDT","NAO","0.0769230769230769"
13873,9,"PDT","SIM","0.923076923076923"
13873,7,"PMDB","NAO","0.0384615384615385"
13873,7,"PMDB","SIM","0.961538461538462"
13873,32,"PMN","SIM","1"
13873,14,"PP","NAO","0.166666666666667"
13873,14,"PP","SIM","0.833333333333333"
13873,8,"PPS","SIM","1"
13873,2,"PR","NAO","0.1"
13873,2,"PR","SIM","0.9"
13873,6,"PRB","SIM","1"
13873,13,"PROS","NAO","0.4"
13873,13,"PROS","SIM","0.6"
13873,36,"PRP","NAO","1"
13873,11,"PSB","NAO","0.1875"
13873,11,"PSB","SIM","0.8125"
13873,22,"PSC","NAO","0.0909090909090909"
13873,22,"PSC","SIM","0.909090909090909"
13873,10,"PSD","NAO","0.032258064516129"
13873,10,"PSD","SIM","0.967741935483871"
13873,5,"PSDB","SIM","1"
13873,46,"PSDC","NAO","1"
13873,17,"PSOL","SIM","1"
13873,4,"PT","NAO","1"
13873,3,"PTB","NAO","0.846153846153846"
13873,3,"PTB","SIM","0.153846153846154"
13873,41,"PTdoB","SIM","1"
13873,1,"PV","SIM","1"
13873,38,"SD","NAO","0.0666666666666667"
13873,38,"SD","SIM","0.933333333333333"
13874,12,"DEM","SIM","1"
13874,15,"PCdoB","NAO","0.777777777777778"
13874,15,"PCdoB","SIM","0.222222222222222"
13874,9,"PDT","NAO","0.0769230769230769"
13874,9,"PDT","SIM","0.923076923076923"
13874,7,"PMDB","NAO","0.0384615384615385"
13874,7,"PMDB","SIM","0.961538461538462"
13874,32,"PMN","SIM","1"
13874,14,"PP","NAO","0.166666666666667"
13874,14,"PP","SIM","0.833333333333333"
13874,8,"PPS","SIM","1"
13874,2,"PR","NAO","0.1"
13874,2,"PR","SIM","0.9"
13874,6,"PRB","SIM","1"
13874,13,"PROS","NAO","0.4"
13874,13,"PROS","SIM","0.6"
13874,36,"PRP","NAO","1"
13874,11,"PSB","NAO","0.1875"
13874,11,"PSB","SIM","0.8125"
13874,22,"PSC","NAO","0.0909090909090909"
13874,22,"PSC","SIM","0.909090909090909"
13874,10,"PSD","NAO","0.032258064516129"
13874,10,"PSD","SIM","0.967741935483871"
13874,5,"PSDB","SIM","1"
13874,46,"PSDC","NAO","1"
13874,17,"PSOL","SIM","1"
13874,4,"PT","NAO","1"
13874,3,"PTB","NAO","0.846153846153846"
13874,3,"PTB","SIM","0.153846153846154"
13874,41,"PTdoB","SIM","1"
13874,1,"PV","SIM","1"
13874,38,"SD","NAO","0.0666666666666667"
13874,38,"SD","SIM","0.933333333333333"
13941,12,"DEM","NAO","0.0526315789473684"
13941,12,"DEM","SIM","0.947368421052632"
13941,15,"PCdoB","SIM","1"
13941,9,"PDT","SIM","1"
13941,37,"PEN","SIM","1"
13941,7,"PMDB","SIM","1"
13941,32,"PMN","SIM","1"
13941,14,"PP","SIM","1"
13941,8,"PPS","SIM","1"
